"year","firm","asst","liab","eqty","sales","cost_sales","indst"
2019,"한국석유",29,15,14,49,43,"제조업"
2019,"한성기업",23,18,5,27,23,"제조업"
2019,"에넥스",13,8,5,36,33,"제조업"
2019,"우신시스템",31,20,11,30,27,"제조업"
2019,"페이퍼코리아",63,61,1,27,23,"제조업"
2019,"MH에탄올",45,37,8,8,5,"제조업"
2019,"한솔로지스틱스",17,12,5,46,42,"제조업"
2019,"유엔젤",5,1,4,3,2,"제조업"
2019,"진양산업",5,1,4,6,5,"제조업"
2019,"선창산업",54,33,22,46,42,"제조업"
2019,"진양화학",4,1,3,4,4,"제조업"
2019,"우진아이엔에스",13,3,11,11,10,"제조업"
2019,"대호에이엘",8,5,3,12,11,"제조업"
2019,"상신브레이크",45,28,18,39,31,"제조업"
2019,"이구산업",26,16,10,21,20,"제조업"
2019,"디아이씨",78,59,19,54,52,"제조업"
2019,"키위미디어그룹",6,7,-1,3,3,"제조업"
2019,"휴스틸",58,18,40,54,52,"제조업"
2019,"문배철강",20,8,11,16,15,"제조업"
2019,"한신기계",9,1,8,5,4,"제조업"
2019,"서울식품",8,5,2,6,5,"제조업"
2019,"미래산업",7,1,7,3,2,"제조업"
2019,"삼성공조",26,4,22,8,7,"제조업"
2019,"조일알미늄",29,18,11,31,31,"제조업"
2019,"진도",15,5,10,8,5,"제조업"
2019,"일성건설",35,26,9,38,35,"제조업"
2019,"평화홀딩스",50,38,12,58,53,"제조업"
2019,"폴루스바이오팜",15,9,6,1,1,"제조업"
2019,"금호전기",7,6,2,6,5,"제조업"
2019,"선도전기",17,8,9,9,8,"제조업"
2019,"인팩",29,18,11,36,32,"제조업"
2019,"SJM",22,5,17,16,12,"제조업"
2019,"미래아이앤지",7,0,7,1,1,"제조업"
2019,"한국종합기술",28,18,10,22,20,"제조업"
2019,"전방",33,24,8,14,16,"제조업"
2019,"신송홀딩스",20,11,9,26,24,"제조업"
2019,"동원수산",10,5,5,16,14,"제조업"
2019,"SJM홀딩스",31,6,25,16,12,"제조업"
2019,"이화산업",28,10,18,6,5,"제조업"
2019,"원림",16,5,12,8,6,"제조업"
2019,"TBH글로벌",18,7,11,21,9,"제조업"
2019,"티에이치엔",27,20,6,40,34,"제조업"
2019,"한일철강",32,17,15,17,17,"제조업"
2019,"케이비아이동국실업",56,38,18,62,57,"제조업"
2019,"우진플라임",27,22,5,18,14,"제조업"
2019,"한국전자홀딩스",39,15,24,22,19,"제조업"
2019,"갤럭시아에스엠",3,1,2,3,3,"제조업"
2019,"성문전자",4,2,3,4,3,"제조업"
2019,"경인전자",6,0,5,1,1,"제조업"
2019,"태양금속",39,32,7,47,43,"제조업"
2019,"진양폴리",4,2,3,4,3,"제조업"
2019,"한세엠케이",18,8,10,31,15,"제조업"
2019,"WISCOM",13,2,12,12,11,"제조업"
2019,"동일제강",15,2,13,13,12,"제조업"
2019,"에쓰씨엔지니어링",37,22,16,24,20,"제조업"
2019,"부산주공",28,25,3,20,20,"제조업"
2019,"코아스",8,5,3,11,8,"제조업"
2019,"삼화전자",6,4,2,4,4,"제조업"
2019,"엔케이물산",4,0,4,1,1,"제조업"
2019,"에이엔피",13,8,6,11,11,"제조업"
2019,"한솔PNS",10,6,4,23,21,"제조업"
2019,"하이스틸",23,11,13,21,20,"제조업"
2019,"태원물산",4,1,3,2,2,"제조업"
2019,"흥아해운",43,40,3,10,10,"제조업"
2019,"이스타코",8,3,5,2,2,"제조업"
2019,"세기상사",4,2,2,1,0,"제조업"
2019,"신화실업",7,3,3,7,7,"제조업"
2019,"씨아이테크",6,2,3,4,3,"제조업"
2019,"일정실업",6,3,3,4,5,"제조업"
2019,"성안",31,23,8,22,21,"제조업"
2019,"지코",7,5,2,8,8,"제조업"
2019,"한국주강",5,2,3,4,4,"제조업"
2019,"하이트론",6,4,2,3,4,"제조업"
2019,"컨버즈",3,3,0,5,4,"제조업"
