Symbol,Name,year,profit,oper_income,net_income
A170900,동아에스티,2019,50.95,9.24,11.58
A020000,한섬,2018,57.48,7.02,5.57
A020000,한섬,2019,59.64,8.46,6.77
A034310,NICE,2018,100.00,10.52,6.75
A034310,NICE,2019,100.00,8.21,4.14
A097230,한진중공업,2018,8.29,3.63,-75.60
A097230,한진중공업,2019,10.90,5.15,18.80
A081000,일진다이아,2018,29.20,11.33,5.74
A081000,일진다이아,2019,29.24,8.21,7.93
A005880,대한해운,2018,14.68,10.51,6.09
A005880,대한해운,2019,17.87,12.81,10.05
A003540,대신증권,2018,20.10,6.20,5.50
A003540,대신증권,2019,17.71,3.70,3.48
A339770,교촌에프앤비,2018,22.01,5.98,3.38
A339770,교촌에프앤비,2019,25.29,10.35,7.77
A033270,유나이티드제약,2018,59.21,17.81,14.94
A033270,유나이티드제약,2019,58.10,15.58,13.97
A085620,미래에셋생명,2018,44.38,3.75,2.81
A085620,미래에셋생명,2019,45.40,4.04,3.14
A105630,한세실업,2018,22.58,2.26,-2.91
A105630,한세실업,2019,20.90,3.07,-0.90
A009450,경동나비엔,2018,32.87,5.61,3.41
A009450,경동나비엔,2019,34.18,5.79,3.60
A001470,삼부토건,2018,9.64,-5.28,-29.02
A001470,삼부토건,2019,7.66,2.19,3.28
A192400,쿠쿠홀딩스,2018,40.27,13.76,17.14
A192400,쿠쿠홀딩스,2019,41.44,14.10,15.04
A049770,동원F&B,2018,21.88,3.11,2.02
A049770,동원F&B,2019,22.50,3.35,2.17
A033660,아주캐피탈,2018,32.41,17.88,14.79
A033660,아주캐피탈,2019,31.57,18.41,13.99
A226320,잇츠한불,2018,60.54,9.30,8.67
A226320,잇츠한불,2019,55.68,5.35,3.64
A001230,동국제강,2018,8.07,2.43,-5.10
A001230,동국제강,2019,8.98,2.91,-1.44
A001060,JW중외제약,2018,36.68,4.02,1.50
A001060,JW중외제약,2019,31.51,-3.72,-4.94
A089590,제주항공,2018,19.36,8.04,5.63
A089590,제주항공,2019,9.87,-2.38,-2.39
A079550,LIG넥스원,2018,9.57,1.63,0.30
A079550,LIG넥스원,2019,9.50,1.25,0.22
A018250,애경산업,2018,50.74,11.32,8.69
A018250,애경산업,2019,48.46,8.64,5.94
A298050,효성첨단소재,2018,10.34,3.63,-1.34
A298050,효성첨단소재,2019,11.69,5.18,-1.73
A042700,한미반도체,2018,44.60,26.16,22.69
A042700,한미반도체,2019,41.62,11.40,16.00
A280360,롯데제과,2018,35.80,3.80,0.50
A280360,롯데제과,2019,33.54,4.65,1.99
A052690,한전기술,2018,31.54,4.96,2.98
A052690,한전기술,2019,27.67,9.82,5.88
A012630,HDC,2018,17.30,6.17,60.17
A012630,HDC,2019,18.59,7.92,17.02
A005610,SPC삼립,2018,15.61,2.70,1.90
A005610,SPC삼립,2019,15.27,1.88,0.81
A003470,유안타증권,2018,20.85,4.47,5.14
A003470,유안타증권,2019,17.81,3.37,3.80
A108670,LG하우시스,2018,22.37,2.15,-1.63
A108670,LG하우시스,2019,23.43,2.16,0.36
A039130,하나투어,2018,100.00,3.00,1.28
A039130,하나투어,2019,100.00,0.78,-1.57
A300720,한일시멘트,2018,23.31,10.96,10.49
A300720,한일시멘트,2019,18.10,6.23,4.28
A017810,풀무원,2018,24.61,1.77,0.48
A017810,풀무원,2019,24.78,1.28,-0.32
A001820,삼화콘덴서,2018,37.09,29.64,22.56
A001820,삼화콘덴서,2019,23.96,14.65,11.72
A115390,락앤락,2018,44.67,8.41,7.01
A115390,락앤락,2019,43.90,5.00,3.37
A003620,쌍용차,2018,12.48,-1.73,-1.67
A003620,쌍용차,2019,7.38,-7.78,-9.42
A008490,서흥,2018,18.88,9.99,7.47
A008490,서흥,2019,19.83,10.29,8.11
A267270,현대건설기계,2018,16.84,6.45,4.36
A267270,현대건설기계,2019,19.09,5.53,1.78
A015350,부산가스,2018,15.21,4.33,5.17
A015350,부산가스,2019,15.84,4.47,5.03
A286940,롯데정보통신,2018,8.74,4.80,2.88
A286940,롯데정보통신,2019,8.84,4.86,6.27
A082640,동양생명,2018,46.06,1.15,0.90
A082640,동양생명,2019,55.27,1.83,1.84
A267260,현대일렉트릭,2018,7.87,-5.18,-9.22
A267260,현대일렉트릭,2019,8.66,-8.85,-14.92
A298040,효성중공업,2018,10.97,2.29,0.09
A298040,효성중공업,2019,10.38,3.44,0.42
A002350,넥센타이어,2018,28.32,9.20,5.22
A002350,넥센타이어,2019,30.49,10.25,5.86
A000070,삼양홀딩스,2018,18.81,5.40,4.00
A000070,삼양홀딩스,2019,18.62,3.19,2.49
A000400,롯데손해보험,2018,53.96,3.44,2.59
A000400,롯데손해보험,2019,54.48,-1.93,-1.39
A353200,대덕전자,2018,,,
A353200,대덕전자,2019,,,
A001880,대림건설,2018,13.18,9.41,6.68
A001880,대림건설,2019,14.25,11.17,7.43
A002840,미원상사,2018,16.11,8.27,7.37
A002840,미원상사,2019,21.94,12.90,12.45
A005180,빙그레,2018,25.79,4.60,4.00
A005180,빙그레,2019,26.32,5.21,4.67
A268280,미원에스씨,2018,17.80,11.11,9.98
A268280,미원에스씨,2019,19.10,12.33,10.47
A145990,삼양사,2018,18.04,4.57,2.81
A145990,삼양사,2019,18.30,3.89,2.52
A009970,영원무역홀딩스,2018,34.74,10.12,6.04
A009970,영원무역홀딩스,2019,32.35,10.92,8.32
A000020,동화약품,2018,37.80,3.66,3.28
A000020,동화약품,2019,39.63,3.23,3.06
A025540,한국단자,2018,13.46,6.19,5.31
A025540,한국단자,2019,12.06,4.34,4.13
A001630,종근당홀딩스,2018,38.21,10.11,9.94
A001630,종근당홀딩스,2019,45.61,11.96,11.01
A272450,진에어,2018,14.46,6.23,4.40
A272450,진에어,2019,3.68,-5.36,-6.22
A281820,케이씨텍,2018,34.47,18.76,15.22
A281820,케이씨텍,2019,32.94,18.49,13.89
A017960,한국카본,2018,11.32,2.72,-1.31
A017960,한국카본,2019,17.86,9.25,6.47
A003060,에이프로젠제약,2018,41.37,-1.82,-2.68
A003060,에이프로젠제약,2019,40.39,-3.85,-6.81
A036420,제이콘텐트리,2018,46.45,6.80,5.00
A036420,제이콘텐트리,2019,43.26,6.39,1.92
A009290,광동제약,2018,20.47,2.88,1.86
A009290,광동제약,2019,20.89,3.38,1.83
A030610,교보증권,2018,21.72,7.46,6.19
A030610,교보증권,2019,21.10,7.60,5.75
A003070,코오롱글로벌,2018,9.21,2.29,0.43
A003070,코오롱글로벌,2019,10.67,3.60,1.33
A123890,한국자산신탁,2018,80.35,60.85,45.63
A123890,한국자산신탁,2019,68.58,51.09,40.13
A004490,세방전지,2018,16.99,9.42,8.18
A004490,세방전지,2019,17.32,9.28,6.89
A024720,한국콜마홀딩스,2018,23.43,14.86,16.06
A024720,한국콜마홀딩스,2019,23.26,15.67,12.17
A145720,덴티움,2018,70.19,22.52,18.39
A145720,덴티움,2019,66.35,17.68,5.43
A001720,신영증권,2018,13.65,6.20,4.68
A001720,신영증권,2019,5.82,0.63,0.79
A008350,남선알미늄,2018,10.03,2.71,7.25
A008350,남선알미늄,2019,10.74,3.57,4.46
