date,kor,usa,jpn,uk
2006-02-22,-0.45,-0.33,2.96,-0.09
2006-02-23,1.69,0.75,-0.71,0.25
2006-02-24,0.44,-0.38,1.99,-0.62
2006-02-27,0.64,0.13,0.04,0.42
2006-02-28,-0.36,0.36,0.57,0.26
2006-03-02,-0.34,-1.04,0.08,-1.44
2006-03-03,-2.93,-0.16,-0.34,-0.19
2006-03-06,1.28,-0.15,-1.55,0.44
2006-03-07,-2.15,-0.7,1.52,0.67
2006-03-08,-0.22,-0.19,-1.1,-0.69
2006-03-09,-0.35,0.2,-0.63,-0.76
2006-03-10,0.71,-0.49,2.62,0.74
2006-03-13,1.44,0.73,0.49,0.89
2006-03-14,-1,0.2,1.53,0.76
2006-03-15,0.69,1.04,-0.75,-0.04
2006-03-16,0.22,0.43,0.5,0.24
2006-03-17,0.47,0.18,-1.37,0.47
2006-03-20,0.45,0.15,1.51,0.1
2006-03-21,-0.8,-0.17,1.74,-0.13
2006-03-22,-2.08,-0.6,,-0.01
2006-03-23,0.24,0.6,-0.78,0.27
2006-03-24,0.7,-0.26,-0.04,-0.29
2006-03-27,0.92,0.1,0.43,0.77
2006-03-28,0.19,-0.1,0.54,-1.06
2006-03-29,0.11,-0.64,0.24,-0.61
2006-03-30,0.38,0.75,1.49,0.4
2006-03-31,1.5,-0.2,0.63,0.94
2006-04-03,1.52,-0.42,0.08,-0.84
2006-04-04,0.49,0.23,1.6,1
2006-04-05,0.11,0.63,-0.23,-0.33
2006-04-06,0.63,0.43,-0.28,0.66
2006-04-07,0.48,-0.19,1.42,0.03
2006-04-10,-0.36,-1.03,0.42,-0.32
2006-04-11,-0.94,0.08,-0.61,0.68
2006-04-12,-0.27,-0.77,-0.22,-0.83
2006-04-13,1.55,0.12,-1.47,-0.26
2006-04-14,2.07,0.08,0.21,0.48
2006-04-17,-0.74,,0.2,
2006-04-18,0.33,-0.29,-1.35,
2006-04-19,0.78,1.74,1.37,0.24
2006-04-20,-0.26,0.17,0.68,0.76
2006-04-21,1.26,0.12,-0.19,-0.14
