Symbol,Name,year,gross_profit,oper_income
A078000,텔코웨어,2019,33.56,8.05
A012800,대창,2019,5.24,1.89
A005360,모나미,2019,34.57,1.39
A004250,NPC,2019,14.07,4.37
A100840,S&TC,2019,16.73,8.19
A014280,금강공업,2019,15.58,0.48
A000860,강남제비스코,2019,12.27,-0.59
A034590,인천도시가스,2019,12.08,2.09
A267290,경동도시가스,2019,7.91,1.97
A103590,일진전기,2019,9.41,1.71
A009440,KC그린홀딩스,2019,19.81,3.08
A003650,미창석유,2019,9.33,5.40
A006220,제주은행,2019,48.97,15.47
A053690,한미글로벌,2019,29.44,8.28
A092440,기신정기,2019,18.60,7.43
A031820,콤텍시스템,2019,12.58,1.28
A264900,크라운제과,2019,36.24,6.86
A000230,일동홀딩스,2019,39.60,-8.86
A014580,태경비케이,2019,20.40,2.08
A145210,세화아이엠씨,2019,9.72,-10.57
A001290,상상인증권,2019,48.48,-15.81
A001140,국보,2019,19.91,-1.09
A009190,대양금속,2019,4.93,2.14
A012200,계양전기,2019,16.72,0.86
A227840,현대코퍼레이션홀딩스,2019,14.87,5.05
A010960,삼호개발,2019,10.27,6.46
A015230,대창단조,2019,14.12,6.74
A010820,퍼스텍,2019,1.49,-3.69
A007280,한국특수형강,2019,1.82,-2.11
A006370,대구백화점,2019,100.00,-14.03
A032560,황금에스티,2019,17.44,7.71
A009200,무림페이퍼,2019,13.73,6.12
A000220,유유제약,2019,51.29,8.89
A010600,웰바이오텍,2019,10.78,-13.60
A001260,남광토건,2019,9.50,2.04
A023000,삼원강재,2019,7.77,4.01
A129260,인터지스,2019,7.27,1.36
A008250,이건산업,2019,12.48,3.44
A013700,까뮤이앤씨,2019,9.97,5.24
A000910,유니온,2019,18.39,5.13
A194370,제이에스코퍼레이션,2019,19.04,4.39
A019440,세아특수강,2019,6.59,2.71
A006110,삼아알미늄,2019,9.66,3.37
A000650,천일고속,2019,13.77,0.94
A001550,조비,2019,20.86,1.36
A014990,인디에프,2019,50.72,-0.78
A010690,화신,2019,6.34,0.17
A105840,우진,2019,20.09,-2.21
A027970,세하,2019,17.34,7.94
A025620,제이준코스메틱,2019,14.87,-98.85
A006740,영풍제지,2019,19.38,10.91
A002140,고려산업,2019,16.79,3.02
A002600,조흥,2019,12.29,6.33
A058850,KTcs,2019,100.00,1.20
A026940,부국철강,2019,3.55,0.24
A030790,비케이탑스,2019,-0.03,-25.23
A001380,SG충방,2019,10.32,3.07
A006980,우성사료,2019,15.88,-1.05
A000300,대유플러스,2019,15.91,7.47
A000040,KR모터스,2019,-0.74,-18.59
A155660,DSR,2019,12.47,4.51
A002880,대유에이텍,2019,15.74,2.44
A005750,대림B&Co,2019,20.57,1.75
A011330,유니켐,2019,23.57,16.48
A016740,두올,2019,16.81,5.93
A000500,가온전선,2019,4.70,0.86
A058430,포스코강판,2019,5.30,1.09
A034300,신세계건설,2019,9.23,2.39
A002070,비비안,2019,57.09,-0.23
A007980,태평양물산,2019,17.76,4.45
A058860,KTis,2019,100.00,3.05
A005800,신영와코루,2019,59.95,0.81
A002360,SH에너지화학,2019,4.73,-2.22
A093240,형지엘리트,2019,33.74,-2.56
A017040,광명전기,2019,11.24,6.06
A013000,세우글로벌,2019,13.83,4.14
A006090,사조오양,2019,14.03,7.21
A035000,지투알,2019,30.78,4.04
A007590,동방아그로,2019,28.79,6.26
A002870,신풍제지,2019,15.67,7.24
